Temperature,Moisture,pH,C/N_Ratio,Aeration_Rate,Compost_Duration,Initial_Composition,Additive_Used,Turning_Frequency,Temp_Moisture_Interaction,Compost_Quality
44.96714153011233,45.024477467772094,6.845395461475068,25.12926122033532,1.5761102506432785,31,Crop Residue,Microbial Inoculant,3,20.246220506126612,4.668826608778064
38.61735698828815,43.13703521003201,6.623921797204709,27.106394969477755,0.6331314941333308,111,Food Waste,Lime,3,16.658382881221616,2.3081331789719988
46.47688538100692,59.0929074863091,7.1595872552095905,33.47988416291461,1.0213761249732678,106,Manure,Biochar,1,27.46454288071634,0.0
55.23029856408026,61.19427179460703,7.670225223011572,21.25129684438903,0.6119477124387713,98,Crop Residue,Microbial Inoculant,1,33.79777901627622,6.056593335284116
37.658466252766644,40.94758434476926,6.062413765177128,24.21013879330686,0.7912915368408808,87,Manure,Lime,1,15.42023223179809,0.0
37.6586304305082,68.0863673873107,7.057513039573709,36.18047280583353,0.7245619049750276,73,Food Waste,None,2,25.640393467945394,0.0
55.79212815507391,41.55913850954417,6.9199336022166795,22.938438471675415,1.3718752019324685,103,Food Waste,Biochar,3,23.186727817389556,11.005143001214519
47.67434729152909,56.238890059032116,7.335670038225233,26.85290293045043,0.8811310965694721,85,Crop Residue,Microbial Inoculant,4,26.811523759644203,2.2008755540824643
35.30525614065048,61.27181558352749,7.106598314118845,37.2931784371628,1.3205138001082048,72,Food Waste,None,2,21.632171433791374,0.0
45.42560043585965,66.12907371238256,6.624015334130591,23.098506222868853,1.1812362668765555,118,Manure,Microbial Inoculant,2,30.039528796522006,0.0
35.365823071875376,61.42260796397284,6.840473032166691,21.6547367123638,1.6910916256314366,63,Crop Residue,Lime,2,21.72261085867027,0.0
35.34270246429743,64.05184249209375,6.601987071598256,29.690759901600217,0.5561667330580828,59,Crop Residue,Lime,4,22.63765211488113,0.0
42.41962271566034,50.18350577628418,7.538003569299299,26.048390225570728,1.3777699719360397,100,Manure,None,3,21.287653815791362,2.684826929553708
20.86719755342202,64.44475341239537,7.010655824335971,31.26816728967708,1.3439322611202182,99,Crop Residue,Microbial Inoculant,1,13.447814007380222,0.0
22.750821674869673,42.40344539154025,7.950595342876504,36.076097809669506,0.7079863485918896,84,Crop Residue,Biochar,3,9.647132245030065,0.0
34.37712470759027,66.84449968181583,6.969669593092689,22.742969763054862,1.302140000941948,96,Manure,Biochar,3,22.97921701578261,0.0
29.87168879665576,56.42777128461209,6.645796616544769,31.613981691085698,1.1008434889078687,42,Crop Residue,None,2,16.855928233028006,0.0
43.142473325952736,64.51893309887481,6.243142803693586,30.110175207797276,0.9317571220139776,32,Crop Residue,None,2,27.835063502371355,0.0
30.91975924478789,53.569548535549,6.098430161872027,22.881575720263992,0.7528193539084002,55,Manure,None,2,16.56357543571155,0.0
25.876962986647086,59.30733085589575,6.207932028497255,32.47996971057965,0.7842671645652443,86,Food Waste,Microbial Inoculant,1,15.346936053948468,0.0
54.65648768921554,55.792079828083395,7.133563325505742,25.472808357215435,1.614943628735778,53,Manure,Biochar,1,30.493991242793708,9.883783671206615
37.74223699513465,61.947685652659956,7.254362511614967,29.75668637088025,1.0002048456872448,82,Crop Residue,Biochar,1,23.380442332027943,0.0
40.67528204687924,42.44889946091769,6.209404648983933,21.64544648554124,1.2346390004594379,99,Manure,Biochar,3,17.26620958152447,1.307653680299299
25.752518137865433,41.81056251971691,7.447519157038058,29.19168114427246,0.762730185499734,72,Crop Residue,None,2,10.767272696433663,4.632758214306609
34.556172754748175,47.41309702030439,6.7584694741582805,26.129269360856405,0.7660441161335083,89,Crop Residue,Biochar,4,16.384151714712743,0.0
41.10922589709866,44.78634040339565,7.073396505992775,36.44762422370709,1.3245954427749826,87,Manure,Lime,3,18.411317847475484,6.9735379490226
28.490064225776973,66.15350699776604,7.806110314127713,21.139574539947365,0.5951271365345403,78,Crop Residue,None,1,18.84717663126741,0.0
43.75698018345672,46.57641962074133,7.4484196579327655,28.3721454983666,0.8754358696284186,71,Food Waste,Biochar,4,20.38043470361143,2.976750932830769
33.99361310081195,69.27595767457393,6.865734676047084,29.168628482628762,1.0102082233216696,105,Crop Residue,Microbial Inoculant,4,23.549401023776905,0.0
37.083062502067236,50.10687375313321,6.554403887292357,34.50012152598237,1.0334117805520158,95,Manure,None,2,18.58116331170631,0.0
33.98293387770603,45.46353747066098,6.0,31.48575150180422,0.9462720144951531,40,Food Waste,Lime,4,15.449843877120827,0.7067175779902173
58.522781845089376,63.690955214274375,6.64042334037879,33.34424674388362,1.118745934328777,119,Food Waste,Lime,1,37.27371877510337,5.688048622226925
39.86502775262066,59.761233265026284,6.894434880586153,35.54098571303513,1.2078567267453435,47,Crop Residue,Microbial Inoculant,2,23.8238322264111,0.0
